Question,Answer,Notes
Does your app collect or share any of the required user data types?,Yes,Qua AdMob + Play Games + Firebase Analytics/Crashlytics (xem data-safety.csv)
Is all of the user data collected by your app encrypted in transit?,Yes,Toàn bộ truyền qua HTTPS bởi SDK Google
Do you provide a way for users to request that their data is deleted?,Yes,"Reset Advertising ID trong cài đặt máy; xoá dữ liệu Play Games trong tài khoản Google; từ chối consent (EEA) để dừng analytics; gỡ app xoá toàn bộ dữ liệu cục bộ"
Does your app collect precise or approximate location?,No,Không thu thập vị trí
Does your app collect personal info (name/email/phone/address)?,No,Không tài khoản riêng; không hỏi thông tin cá nhân
Does your app collect financial info?,No,Không có mua hàng trong ứng dụng (IAP)
Does your app collect messages/contacts/photos/files/calendar?,No,Không truy cập
Does your app collect health or fitness data?,No,Không
Is any collected data used for one of the required purposes?,Yes,Advertising/marketing; Analytics; App functionality; Fraud prevention & security
Is any data collected from children?,No,Nhắm 13+ (Target audience); không cố ý thu thập dữ liệu trẻ em
